title,link,tanggal_putus,query
Putusan MAHKAMAH AGUNG Nomor 3794 B/PK/PJK/2019,https://putusan3.mahkamahagung.go.id/direktori/putusan/f87bdc50c1378575de498975e46f2fe2.html,29-10-2019,pertamina
Putusan MAHKAMAH AGUNG Nomor 3034 B/PK/PJK/2019,https://putusan3.mahkamahagung.go.id/direktori/putusan/f0d45a86a94c2f0af60cbc9231380dd8.html,26-09-2019,pertamina
Putusan MAHKAMAH AGUNG Nomor 3033 B/PK/PJK/2019,https://putusan3.mahkamahagung.go.id/direktori/putusan/76370fb93a661f0c27309018c4577d71.html,26-09-2019,pertamina
Putusan MAHKAMAH AGUNG Nomor 2983 B/PK/PJK/2019,https://putusan3.mahkamahagung.go.id/direktori/putusan/484ae1b72f5fd359d2c9f7db2002d2ed.html,29-10-2019,pertamina
Putusan MAHKAMAH AGUNG Nomor 3016 B/PK/PJK/2019,https://putusan3.mahkamahagung.go.id/direktori/putusan/86189185ded3ea548f779b65422096d4.html,26-09-2019,pertamina
Putusan MAHKAMAH AGUNG Nomor 3017 B/PK/PJK/2019,https://putusan3.mahkamahagung.go.id/direktori/putusan/17f2aa15e6fb1311e9e4c8201ff34864.html,26-09-2019,pertamina
Putusan MAHKAMAH AGUNG Nomor 3058 B/PK/PJK/2019,https://putusan3.mahkamahagung.go.id/direktori/putusan/0f6b852b6f63bc18ac9ccf2889bfb985.html,26-09-2019,pertamina
Putusan MAHKAMAH AGUNG Nomor 4561 B/PK/PJK/2019,https://putusan3.mahkamahagung.go.id/direktori/putusan/12a77a21bb8d44f7dacc2c0fb750aab1.html,06-12-2019,pertamina
